show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,day_added,month_added,year_added,duration_minutes,duration_tvshows,content_age
80046728,Movie,Moonwalkers,Antoine Bardou-Jacquet,Ron Perlman,France,2017-09-08,2015,R,96 min,Action & Adventure,"A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.",8,9,2017,96.0,0.0,10
80046727,Movie,Rolling Papers,Mitch Dickman,No Cast,United States,2017-09-08,2015,TV-MA,79 min,Documentaries,"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture.",8,9,2017,79.0,0.0,10
70304988,Movie,Stonehearst Asylum,Brad Anderson,Kate Beckinsale,United States,2017-09-08,2014,PG-13,113 min,Horror Movies,"In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.",8,9,2017,113.0,0.0,11
80057700,Movie,The Runner,Austin Stark,Nicolas Cage,United States,2017-09-08,2015,R,90 min,Dramas,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,8,9,2017,90.0,0.0,10
80045922,Movie,6 Years,Hannah Fidell,Taissa Farmiga,United States,2015-09-08,2015,NR,80 min,Dramas,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",8,9,2015,80.0,0.0,10
80244601,TV Show,Castle of Stars,No Director,Chaiyapol Pupart,No Country,2018-09-07,2015,TV-14,1 Season,International TV Shows,"As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life.",7,9,2018,0.0,1.0,10
80203094,Movie,City of Joy,Madeleine Gavin,No Cast,United States,2018-09-07,2018,TV-MA,77 min,Documentaries,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment.",7,9,2018,77.0,0.0,7
80190843,TV Show,First and Last,No Director,No Cast,No Country,2018-09-07,2018,TV-MA,1 Season,Docuseries,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.,7,9,2018,0.0,1.0,7
70241607,Movie,Laddaland,Sopon Sukdapisit,Saharat Sangkapreecha,Thailand,2018-09-07,2011,TV-MA,112 min,Horror Movies,"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.",7,9,2018,112.0,0.0,14
80988892,Movie,Next Gen,Kevin R. Adams,John Krasinski,China,2018-09-07,2018,TV-PG,106 min,Children & Family Movies,"When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.",7,9,2018,106.0,0.0,7
80239639,Movie,Sierra Burgess Is A Loser,Ian Samuels,Shannon Purser,United States,2018-09-07,2018,PG-13,106 min,Comedies,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,7,9,2018,106.0,0.0,7
80159586,Movie,The Most Assassinated Woman in the World,Franck Ribière,Anna Mouglalis,Belgium,2018-09-07,2018,TV-MA,102 min,Dramas,"In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.",7,9,2018,102.0,0.0,7
80152447,Movie,Cézanne et moi,Daniele Thompson,Guillaume Canet,Belgium,2017-09-07,2016,R,114 min,Dramas,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys.",7,9,2017,114.0,0.0,9
80221550,TV Show,Archibald's Next Big Thing,No Director,Tony Hale,No Country,2019-09-06,2019,TV-Y7,1 Season,Kids' TV,"Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!",6,9,2019,0.0,1.0,6
81154455,Movie,Article 15,Anubhav Sinha,Ayushmann Khurrana,India,2019-09-06,2019,TV-MA,125 min,Dramas,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.,6,9,2019,125.0,0.0,6
81113928,Movie,Care of Kancharapalem,Maha Venkatesh,Subba Rao Vepada,No Country,2019-09-06,2018,TV-14,142 min,Comedies,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",6,9,2019,142.0,0.0,7
81052275,Movie,Ee Nagaraniki Emaindi,Tharun Bhascker,Vishwaksen Naidu,India,2019-09-06,2018,TV-14,133 min,Comedies,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.",6,9,2019,133.0,0.0,7
81132437,Movie,Kill Me If You Dare,Şenol Sönmez,Murat Boz,No Country,2019-09-06,2019,TV-14,100 min,Comedies,"Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part.",6,9,2019,100.0,0.0,6
80178151,TV Show,The Spy,No Director,Sacha Baron Cohen,France,2019-09-06,2019,TV-MA,1 Season,International TV Shows,"In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad.",6,9,2019,0.0,1.0,6
80058026,Movie,Hell and Back,Tom Gianas,Nick Swardson,United States,2018-09-06,2015,R,86 min,Action & Adventure,"When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.",6,9,2018,86.0,0.0,10
70303496,Movie,PK,Rajkumar Hirani,Aamir Khan,India,2018-09-06,2014,TV-14,146 min,Comedies,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,6,9,2018,146.0,0.0,11
80162141,Movie,Hard Tide,Robert Osman,Nathanael Wiseman,United Kingdom,2017-09-06,2015,TV-MA,79 min,Dramas,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.,6,9,2017,79.0,0.0,10
80095641,Movie,Elstree 1976,Jon Spira,Paul Blake,United Kingdom,2016-09-06,2015,TV-PG,102 min,Documentaries,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.",6,9,2016,102.0,0.0,10
81176188,Movie,American Factory: A Conversation with the Obamas,No Director,President Barack Obama,No Country,2019-09-05,2019,TV-G,10 min,Documentaries,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.,5,9,2019,10.0,0.0,6
80159880,Movie,ATM,Mez Tharatorn,Chantavit Dhanasevi,United States,2018-09-05,2012,TV-14,122 min,Comedies,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.",5,9,2018,122.0,0.0,13
81016044,Movie,Bangkok Traffic (Love) Story,Adisorn Tresirikasem,Theeradej Wongpuapan,Thailand,2018-09-05,2009,TV-14,126 min,Comedies,"After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.",5,9,2018,126.0,0.0,16
80158838,Movie,I Fine... Thank You... Love You,Mez Tharatorn,Preechaya Pongthananikorn,Thailand,2018-09-05,2014,TV-14,116 min,Comedies,"Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan.",5,9,2018,116.0,0.0,11
81016045,Movie,One Day,Banjong Pisanthanakun,Chantavit Dhanasevi,Thailand,2018-09-05,2016,TV-PG,135 min,Dramas,"When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again.",5,9,2018,135.0,0.0,9
70142798,Movie,Phobia 2,Banjong Pisanthanakun,Jirayu La-ongmanee,Thailand,2018-09-05,2009,TV-MA,125 min,Horror Movies,"From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.",5,9,2018,125.0,0.0,16
70062814,Movie,Shutter,Banjong Pisanthanakun,Ananda Everingham,Thailand,2018-09-05,2004,TV-MA,96 min,Horror Movies,"After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.",5,9,2018,96.0,0.0,21
80158839,Movie,Suckseed,Chayanop Boonprakob,Jirayu La-ongmanee,Thailand,2018-09-05,2011,TV-MA,130 min,Comedies,"When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.",5,9,2018,130.0,0.0,14
80147760,Movie,Carrie Pilby,Susan Johnson,Bel Powley,United States,2017-09-05,2016,TV-14,98 min,Comedies,"A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.",5,9,2017,98.0,0.0,9
80177405,Movie,Marc Maron: Too Real,Lynn Shelton,Marc Maron,United States,2017-09-05,2017,TV-MA,70 min,Stand-Up Comedy,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",5,9,2017,70.0,0.0,8
80113482,TV Show,No Tomorrow,No Director,Joshua Sasse,United States,2017-09-05,2016,TV-14,1 Season,Romantic TV Shows,"Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot.",5,9,2017,0.0,1.0,9
81160036,Movie,Saawan,Farhan Alam,Karam Hussain,Pakistan,2019-09-04,2016,TV-14,128 min,Dramas,"Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story.",4,9,2019,128.0,0.0,9
81173255,Movie,The Heretics,Chad Archibald,Nina Kiri,Canada,2019-09-04,2017,TV-MA,88 min,Horror Movies,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.,4,9,2019,88.0,0.0,8
81078908,Movie,The World We Make,Brian Baugh,Caleb Castille,United States,2019-09-04,2019,PG,108 min,Dramas,"A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test.",4,9,2019,108.0,0.0,6
81155784,Movie,Watchman,A. L. Vijay,G.V. Prakash Kumar,India,2019-09-04,2019,TV-14,93 min,Comedies,"Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside.",4,9,2019,93.0,0.0,6
80201906,Movie,Black Panther,Ryan Coogler,Chadwick Boseman,United States,2018-09-04,2018,PG-13,135 min,Action & Adventure,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",4,9,2018,135.0,0.0,7
80052612,Movie,Man Up,Ben Palmer,Lake Bell,United Kingdom,2018-09-04,2015,R,88 min,Comedies,"A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date.",4,9,2018,88.0,0.0,10
80113641,TV Show,Frequency,No Director,Peyton List,United States,2017-09-04,2016,TV-14,1 Season,Crime TV Shows,"A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp.",4,9,2017,0.0,1.0,9
81054495,Movie,Mo Gilligan: Momentum,Chris Howe,Mo Gilligan,United Kingdom,2019-09-30,2019,TV-MA,64 min,Stand-Up Comedy,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club.",30,9,2019,64.0,0.0,6
80996949,TV Show,Adam Ruins Everything,No Director,Adam Conover,United States,2018-09-30,2018,TV-14,1 Season,TV Comedies,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",30,9,2018,0.0,1.0,7
80239337,TV Show,Ben 10,No Director,Tara Strong,United States,2018-09-30,2016,TV-Y7,1 Season,Kids' TV,Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.,30,9,2018,0.0,1.0,9
70212504,Movie,Big Miracle,Ken Kwapis,Drew Barrymore,United States,2018-09-30,2012,PG,107 min,Children & Family Movies,"After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events.",30,9,2018,107.0,0.0,13
81011682,TV Show,Christiane Amanpour: Sex & Love Around the World,No Director,No Cast,United States,2018-09-30,2018,TV-MA,1 Season,Docuseries,"A contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. CNN's Christiane Amanpour reports.",30,9,2018,0.0,1.0,7
80128317,TV Show,The Eighties,No Director,No Cast,United States,2018-09-30,2016,TV-PG,1 Season,Docuseries,"This nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today.",30,9,2018,0.0,1.0,9
81027384,TV Show,The Nineties,No Director,No Cast,United States,2018-09-30,2017,TV-14,1 Season,Docuseries,This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks.,30,9,2018,0.0,1.0,8
80030186,TV Show,The Seventies,No Director,No Cast,United States,2018-09-30,2015,TV-PG,1 Season,Docuseries,"This series examines 1970s America, focusing on the major political and historical landmarks of the decade and the cultural response to those events.",30,9,2018,0.0,1.0,10
80116921,TV Show,We Bare Bears,No Director,Eric Edelstein,United States,2018-09-30,2017,TV-Y7,1 Season,Kids' TV,"Grizzly, Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world.",30,9,2018,0.0,1.0,8
80187061,Movie,The Mayor,Park In-je,Min-sik Choi,South Korea,2017-09-30,2017,TV-MA,130 min,Dramas,"With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden.",30,9,2017,130.0,0.0,8
80181555,TV Show,The Royal House of Windsor,No Director,No Cast,United Kingdom,2017-09-30,2017,TV-14,1 Season,British TV Shows,"Drawing on newly available info, this show traces how the British royal family has survived the last 100 years of power struggles, politics and more.",30,9,2017,0.0,1.0,8
80081155,Movie,Amanda Knox,Rod Blackhurst,No Cast,Denmark,2016-09-30,2016,TV-MA,92 min,Documentaries,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.,30,9,2016,92.0,0.0,9
80184358,TV Show,Lovesick,No Director,Kongyingyong Chonlathorn,No Country,2018-09-03,2014,TV-14,1 Season,International TV Shows,Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.,3,9,2018,0.0,1.0,11
80198585,Movie,The Debt Collector,Jesse V. Johnson,Scott Adkins,United Kingdom,2018-09-03,2018,TV-MA,96 min,Action & Adventure,"A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection.",3,9,2018,96.0,0.0,7
70233894,Movie,Act of Vengeance,Mahsun Kırmızıgül,Haluk Bilginer,Turkey,2018-09-29,2010,NR,112 min,Action & Adventure,"Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist).",29,9,2018,112.0,0.0,15
81011955,Movie,Paradise Lost,Monique Gardenberg,Júlio Andrade,Brazil,2018-09-29,2018,TV-MA,111 min,Dramas,"A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there.",29,9,2018,111.0,0.0,7
80128722,Movie,Gerald's Game,Mike Flanagan,Carla Gugino,United States,2017-09-29,2017,TV-MA,103 min,Horror Movies,"When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice.",29,9,2017,103.0,0.0,8
80182115,Movie,Long Shot,Jacob LaMendola,No Cast,United States,2017-09-29,2017,TV-14,40 min,Documentaries,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary.",29,9,2017,40.0,0.0,8
80163293,TV Show,Mak Cun,No Director,Erma Fatima,No Country,2017-09-29,2015,TV-PG,1 Season,International TV Shows,A woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.,29,9,2017,0.0,1.0,10
80104068,Movie,Our Souls at Night,Ritesh Batra,Robert Redford,United States,2017-09-29,2017,TV-14,103 min,Dramas,"After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom.",29,9,2017,103.0,0.0,8
80119349,Movie,Out of Thin Air,Dylan Howitt,No Cast,No Country,2017-09-29,2017,TV-14,85 min,Documentaries,"Picking up 40 years after six were convicted for two strange murders in Iceland, this chilling documentary proves confessions can’t always be trusted.",29,9,2017,85.0,0.0,8
80199032,TV Show,Paul Hollywood's Big Continental Road Trip,No Director,Paul Hollywood,United Kingdom,2017-09-29,2017,TV-14,1 Season,British TV Shows,"Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany.",29,9,2017,0.0,1.0,8
80180449,TV Show,Satu Hari,No Director,Sara Ali,No Country,2017-09-29,2014,TV-14,1 Season,International TV Shows,"A man haunted by his wife's affair moves to Sarajevo and starts to love again, until fate forces him to choose between his new life and old loyalty.",29,9,2017,0.0,1.0,11
80019931,Movie,"Monster High: Boo York, Boo York",William Lau,Karen Strassman,United States,2015-09-29,2015,TV-Y7,72 min,Children & Family Movies,Cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along. But the sinister Nefera has other plans.,29,9,2015,72.0,0.0,10
81053893,Movie,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,Mana Yasuda,No Cast,No Country,2019-09-28,2019,TV-G,45 min,Documentaries,An in-depth look at the full-cycle breeding program for bluefin Kindai tuna pioneered by Kinki University’s Aqua Culture Research Institute.,28,9,2019,45.0,0.0,6
80200087,Movie,Domino,Brian De Palma,Nikolaj Coster-Waldau,Denmark,2019-09-28,2019,R,89 min,International Movies,"A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage.",28,9,2019,89.0,0.0,6
81053892,Movie,TUNA GIRL,Mana Yasuda,Fuka Koshiba,No Country,2019-09-28,2019,TV-PG,90 min,Dramas,A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy.,28,9,2019,90.0,0.0,6
81002850,Movie,5CM,Rizal Mantovani,Herjunot Ali,Indonesia,2018-09-28,2012,TV-14,126 min,Dramas,"Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship.",28,9,2018,126.0,0.0,13
81004470,Movie,Animal World,Han Yan,Li Yi Feng,China,2018-09-28,2018,TV-MA,130 min,Action & Adventure,"An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host.",28,9,2018,130.0,0.0,7
80157072,Movie,Hold the Dark,Jeremy Saulnier,Jeffrey Wright,United States,2018-09-28,2018,TV-MA,126 min,Action & Adventure,"In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.",28,9,2018,126.0,0.0,7
81001809,Movie,Lessons from a School Shooting: Notes from Dunblane,Kim A. Snyder,No Cast,United States,2018-09-28,2018,TV-PG,24 min,Documentaries,"Two priests – one from Dunblane, Scotland, the other from Newtown, Connecticut – bond over school tragedies that occurred 16 years apart.",28,9,2018,24.0,0.0,7
80201933,TV Show,Made in Mexico,No Director,No Cast,United States,2018-09-28,2018,TV-MA,1 Season,International TV Shows,"These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles.",28,9,2018,0.0,1.0,7
81002864,Movie,Single,Raditya Dika,Raditya Dika,Indonesia,2018-09-28,2015,TV-PG,127 min,Comedies,"Unemployed and immature, a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger, more successful brother.",28,9,2018,127.0,0.0,10
81016750,Movie,The 3rd Eye,Rocky Soraya,Jessica Mila,Indonesia,2018-09-28,2018,TV-MA,108 min,Horror Movies,"When her little sister claims she sees the dead, Alia consults a psychic, who opens her own eyes to the vengeful ghosts haunting their childhood home.",28,9,2018,108.0,0.0,7
81002866,Movie,The Sinking Of Van Der Wijck,Sunil Soraya,Herjunot Ali,Indonesia,2018-09-28,2013,TV-14,163 min,Dramas,"When a young man leaves home to fulfill the wishes of his late father, he meets and falls in love with a woman from a very different background.",28,9,2018,163.0,0.0,12
80992039,Movie,Two Catalonias,Álvaro Longoria,No Cast,Spain,2018-09-28,2018,TV-MA,117 min,Documentaries,Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain.,28,9,2018,117.0,0.0,7
80126507,Movie,Bobby Sands: 66 Days,Brendan Byrne,No Cast,Ireland,2017-09-28,2016,TV-14,106 min,Documentaries,"In 1981, an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon.",28,9,2017,106.0,0.0,9
80225885,TV Show,Bard of Blood,No Director,Emraan Hashmi,India,2019-09-27,2019,TV-MA,1 Season,International TV Shows,"Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission.",27,9,2019,0.0,1.0,6
81132443,Movie,Deliha 2,Gupse Özay,Gupse Özay,Turkey,2019-09-27,2018,TV-PG,102 min,Comedies,"While chasing her dream of becoming a chef, Zeliha cooks up trouble in the kitchen with her wild, kooky and unsuspecting ways.",27,9,2019,102.0,0.0,7
80218107,TV Show,Dragons: Rescue Riders,No Director,Nicolas Cantu,No Country,2019-09-27,2019,TV-Y,1 Season,Kids' TV,"Twins Dak and Leyla and their dragon friends devote their lives to rescuing others, defending their home of Huttsgalor and having fun along the way.",27,9,2019,0.0,1.0,6
80231903,Movie,In the Shadow of the Moon,Jim Mickle,Boyd Holbrook,United States,2019-09-27,2019,TV-MA,116 min,Dramas,A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.,27,9,2019,116.0,0.0,6
80220715,TV Show,Skylines,No Director,Edin Hasanovic,No Country,2019-09-27,2019,TV-MA,1 Season,Crime TV Shows,A hip-hop producer gets hurled into the violent world of organized crime when the record label he signs to becomes the center of a deadly drug business.,27,9,2019,0.0,1.0,6
